Week,Forecast,Lower Bound,Upper Bound,Route
2025-08-24,53510.00632115333,-11269.511122654047,118289.5237649607,9
2025-08-31,58075.200095268185,-7638.6415470894135,123789.04173762578,9
2025-09-07,56095.36663506037,-10539.699858049404,122730.43312817015,9
2025-09-14,58124.26792936007,-9419.460052484908,125667.99591120504,9
2025-09-21,57302.696305551835,-11137.630204699257,125743.02281580292,9
2025-09-28,57838.13933021788,-11487.190787813917,127163.46944824967,9
2025-10-05,61078.581281720966,-9120.596057606832,131277.75862104876,9
2025-10-12,58229.95100172679,-12832.328741205056,129292.23074465863,9
2025-10-19,57527.49097547943,-14387.533222576785,129442.51517353565,9
2025-10-26,58990.12744558549,-13767.6474554608,131747.90234663177,9
2025-11-02,58535.7604928176,-15055.114700344959,132126.63568598015,9
2025-11-09,57045.70507389831,-17368.944121269815,131460.35426906642,9
2025-11-16,57865.40991298868,-17363.993367804702,133094.81319378206,9
2025-11-23,53182.88524764638,-22852.542160428027,129218.31265572079,9
2025-11-30,47370.44858710102,-29462.54773786905,124203.44491207108,9
2025-12-07,55459.12733017375,-22163.24333329653,133081.49799364404,9
2025-12-14,53422.122436545236,-24981.675498003053,131825.92037109353,9
2025-12-21,52663.83966796109,-26513.673766762207,131841.35310268437,9
2025-12-28,42347.74282484832,-37595.99824879732,122291.48389849396,9
2026-01-04,29001.42911683609,-51701.26501411844,109704.12324779063,9
2025-01-12,41914.14522674911,18353.473571553113,65474.81688194511,8
2025-01-19,36722.273188808605,7166.8493121684005,66277.69706544881,8
2025-01-26,46323.00156497127,11798.504288228905,80847.49884171365,8
2025-02-02,48521.397983139104,9658.0637991591,87384.7321671191,8
2025-02-09,48392.38913645186,5628.191779554967,91156.58649334875,8
2025-02-16,48004.02218941508,1666.19307255264,94341.85130627753,8
2025-02-23,47449.20295112604,-2205.728716810656,97104.13461906274,8
2025-03-02,48747.00964495264,-4016.8991434548007,101510.91843336009,8
2025-03-09,48633.926824752554,-7065.695277334446,104333.54892683955,8
2025-03-16,48449.0654480879,-10039.10202191594,106937.23291809174,8
2025-03-23,41567.37730409793,-19582.3043441587,102717.05895235456,8
2025-03-30,44832.966831425045,-18867.12262979197,108533.05629264205,8
2025-04-06,46174.95513888364,-19977.287673064697,112327.19795083198,8
2025-04-13,48452.37074040486,-20064.321099867797,116969.06258067752,8
2025-04-20,49016.97901454832,-21785.244767044896,119819.20279614153,8
2025-04-27,47555.87606214324,-25460.37366422057,120572.12578850705,8
2025-05-04,46288.58113802987,-28876.507538739752,121453.66981479949,8
2025-05-11,42411.678824263734,-34842.50156405285,119665.85921258031,8
2025-05-18,42498.26472207889,-36789.982951548474,121786.51239570626,8
2025-05-25,43104.20321785736,-38167.21888633861,124375.62532205333,8
2025-06-01,39094.63644415866,-44112.706275833974,122301.9791641513,8
2025-06-08,41906.675170136674,-43192.55933997058,127005.90968024393,8
2025-06-15,42113.63751239525,-44836.3339993318,129063.6090241223,8
2025-06-22,40319.85516752618,-48442.272891540015,129081.98322659236,8
2025-06-29,40796.604458891794,-49741.416334905,131334.6252526886,8
2025-07-06,36717.36210718333,-55562.38128724696,128997.10550161362,8
2025-07-13,42370.16803039813,-51619.02747964875,136359.363540445,8
2025-07-20,42837.354142830816,-52830.75289556383,138505.46118122546,8
2025-07-27,43452.981486818535,-53865.07714565551,140771.04011929256,8
2025-08-03,41935.205819471914,-57005.29330842603,140875.70494736987,8
2025-08-10,39679.73764121207,-60857.02279675654,140216.4980791807,8
2025-08-17,41413.31337314325,-60694.75697903513,143521.38372532165,8
2025-08-24,42469.08104010418,-61186.48254781583,146124.6446280242,8
2025-08-31,52224.87371841256,-52955.41765983591,157405.16509666102,8
2025-09-07,47254.45813891179,-59428.77168704148,153937.68796486506,8
2025-09-14,51784.01526549232,-56381.27194709305,159949.3024780777,8
2025-09-21,51922.72609889109,-57704.58431901983,161550.036516802,8
2025-09-28,51589.41237670437,-59480.67820194296,162659.5029553517,8
2025-10-05,53125.47814863688,-59368.88994520522,165619.846242479,8
2025-10-12,51621.48737590054,-62279.34969089524,165522.32444269632,8
2025-10-19,51940.12301315057,-63350.026246015,167230.27227231616,8
2025-10-26,52382.55121250486,-64280.36640866813,169045.46883367785,8
2025-11-02,51006.785349313956,-67012.93410285436,169026.50480148225,8
2025-11-09,50845.25595876276,-68515.84327902255,170206.35519654807,8
2025-11-16,52890.1764381231,-67797.39476511371,173577.7476413599,8
2025-11-23,46121.77188518421,-75877.84973152522,168121.39350189362,8
2025-11-30,37150.30742139909,-86147.40345071803,160448.01829351622,8
2025-12-07,48638.42414578734,-75943.8512307208,173220.6995222955,8
2025-12-14,43686.36618349743,-82167.36308056541,169540.09544756028,8
2025-12-21,39699.71081360097,-87412.75514216573,166812.17676936765,8
2025-12-28,25181.956675216432,-103176.90290619252,153540.8162566254,8
2026-01-04,15486.318079202794,-114106.94819927242,145079.58435767802,8
2025-01-12,25607.808658501202,9782.053552941494,41433.56376406091,79
2025-01-19,21703.34350129243,-677.6540037853592,44084.34100637022,79
2025-01-26,27935.507515784237,524.4956048122585,55346.51942675622,79
2025-02-02,30869.934767506915,-781.5754436125026,62521.44497862633,79
2025-02-09,31299.37211915909,-4088.0920921367797,66686.83633045496,79
2025-02-16,29682.584604712967,-9082.44019815405,68447.60940757999,79
2025-02-23,29822.40316278872,-12048.609156333016,71693.41548191046,79
2025-03-02,31075.550153802713,-13686.444856352868,75837.54516395829,79
2025-03-09,30447.021934824374,-17030.243381854754,77924.2872515035,79
2025-03-16,30151.270311934255,-19894.161513672887,80196.7021375414,79
2025-03-23,30048.618959027233,-22439.472750165638,82536.7106682201,79
2025-03-30,28324.976368178868,-26497.047453765088,83147.00019012282,79
2025-04-06,30439.64755784083,-26620.923948190717,87500.21906387238,79
2025-04-13,33243.23707001538,-25971.31642197752,92457.79056200827,79
2025-04-20,33952.67508558985,-27340.210879399907,95245.5610505796,79
2025-04-27,33438.831129510196,-29864.18929272864,96741.85155174903,79
2025-05-04,35023.88516776414,-30227.374737616505,100275.14507314478,79
2025-05-11,35242.54896531877,-31900.443549914606,102385.54148055214,79
2025-05-18,34889.157584625296,-34093.70962573233,103872.02479498292,79
2025-05-25,36473.425084187744,-34301.50333840399,107248.35350677947,79
2025-06-01,33043.503005278624,-39479.21769578258,105566.22370633984,79
2025-06-08,36024.49095713668,-38204.88020108667,110253.86211536004,79
2025-06-15,31886.31625777623,-44011.33895769423,107783.97147324668,79
2025-06-22,31573.524536105506,-45956.525069628515,109103.57414183952,79
2025-06-29,33684.67754767923,-45444.09798011928,112813.45307547774,79
2025-07-06,33220.730625804215,-47475.10347478536,113916.56472639379,79
2025-07-13,33449.7793571289,-48783.256375787,115682.81509004481,79
2025-07-20,32630.330540981544,-51111.69409726191,116372.35517922501,79
2025-07-27,33331.61228400111,-51892.687156788204,118555.91172479042,79
2025-08-03,33180.786217294524,-53500.44439138148,119862.01682597052,79
2025-08-10,32209.202223259097,-55904.87306835149,120323.27751486968,79
2025-08-17,32235.48494093302,-57288.50507937811,121759.47496124415,79
